sourceName,sourceVersion,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit,creationDate,startDate,endDate
Brian’s Apple Watch,4.3.2,CrossTraining,65.11574388345083,min,0,mi,438.8499999999986,kcal,2018-08-07 06:07:52 -0600,2018-08-07 05:02:40 -0600,2018-08-07 06:07:47 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,27.84171326557795,min,0,mi,236.3829999999996,kcal,2018-08-07 17:31:13 -0600,2018-08-07 17:03:18 -0600,2018-08-07 17:31:09 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,47.81816779971123,min,0,mi,405.4130000000011,kcal,2018-08-08 05:56:06 -0600,2018-08-08 05:08:11 -0600,2018-08-08 05:56:01 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,32.95205019911131,min,0,mi,291.5729999999991,kcal,2018-08-08 17:39:00 -0600,2018-08-08 17:05:48 -0600,2018-08-08 17:38:45 -0600
Brian’s Apple Watch,4.3.2,Running,4.624955183267593,min,0.1558928669272579,mi,10.83300000000001,kcal,2018-08-09 15:51:45 -0600,2018-08-09 15:47:03 -0600,2018-08-09 15:51:40 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,19.98291460076968,min,0,mi,237.379,kcal,2018-08-09 16:11:51 -0600,2018-08-09 15:51:48 -0600,2018-08-09 16:11:47 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,61.08669721682866,min,0,mi,410.2110000000013,kcal,2018-08-10 06:02:00 -0600,2018-08-10 05:00:45 -0600,2018-08-10 06:01:53 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,33.6911638657252,min,0,mi,275.1070000000011,kcal,2018-08-10 18:33:23 -0600,2018-08-10 17:59:36 -0600,2018-08-10 18:33:17 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,81.40209073225657,min,0,mi,579.2519999999975,kcal,2018-08-11 08:59:13 -0600,2018-08-11 07:37:35 -0600,2018-08-11 08:58:59 -0600
Brian’s Apple Watch,4.3.2,Running,36.91618685126305,min,3.821465085929252,mi,401.7319999999999,kcal,2018-08-12 11:16:44 -0600,2018-08-12 10:39:37 -0600,2018-08-12 11:16:32 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,70.671388032039,min,0,mi,388.8920000000014,kcal,2018-08-13 06:12:46 -0600,2018-08-13 05:02:00 -0600,2018-08-13 06:12:41 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,67.70741116603216,min,0,mi,449.1100000000034,kcal,2018-08-13 18:10:05 -0600,2018-08-13 17:02:16 -0600,2018-08-13 18:09:58 -0600
